id,name,description
1035,ai: commandable,the game has AI companions that can be commanded by the player (fully or partially)
1036,ai: uncommandable,"the game has AI companions that CANNOT be commanded by the player

includes all types of companions as long as it is not only an escort mission and the companion follows the player"
1037,auto: assemble,"automation is directly build/assembled, usually some kind of machine

something can only count as automation if it could also be done manually by the player in some other way, with the automation therefore replacing manual labor (preferably introducing a certain depth)"
1038,auto: configure,"automation is configured but not directly build/assembled

something can only count as automation if it could also be done manually by the player in some other way, with the automation therefore replacing manual labor (preferably introducing a certain depth)"
1050,character editor,"the game has a character editor which allows the player to personalize the character they play to some degree (age, gender, name, class, race, ..)"
1051,chunk: continuous,"there are no clear boundaries in the game world, there are seamless transitions between different game parts"
1052,chunk: package wise,"there are clear boundaries in the game world, different game parts can be named (or even separately chosen to play again)"
1054,com: chat wheel,"players can post premade messages to a chat, usually by using a wheel where they can choose between a set of available messages

This acts as a barrier for toxicity and does not require devs to implement chat filters."
1055,com: external,"players communicate outside of the game, e.g. because they are in the same location or by using other software"
1056,com: free drawing,"players can draw to communicate with other players, e.g. by drawing on a map to indicate where something is"
1057,com: free gestures,players can communicate via free gestures (most likely only VR games)
1058,com: gestures,players can communicate using a set of predefined gestures their character can make
1059,com: markers and pings,"players can communicate through markers and pings, i.e., small symbolic representations "
1060,com: npc and npc,NPCs talk to each other (e.g. ambient dialog or cutscenes) which can act as a source of information for the player
1061,com: npc and player,"NPCs communicate with the player (not their in-game character), e.g. in a tutorial. This can include narrators."
1062,com: npc and playercharacter,"The players can communicate with NPCs via their in-game character, e.g. to gather information, complete quests, trade resources or just chat"
1063,com: proximity communication,"Communication is bound to a location, e.g. players can only hear each other when they are close to each other in the game world.
This is allowed to be tagged for single player games."
1064,com: soundboard,"players can communicate through a sound board, e.g., through a set of predefined spoken lines (voiced by someone else)"
1065,com: text chat,players can communicate through a text chat
1066,com: voice chat,players can communicate through a voice chat
1075,dd: arrow indicator,players are shown a direction through an arrow indicator to help them navigate
1076,dd: compass,players can navigate with the help of a compass
1077,dd: ingame path trail,"directions are given through a path that is overlayed on the game world, e.g. to show players which way they must go"
1079,enact violence,players solve problems or progress by enacting violence like killing creatures and defeating enemies
1080,exp: heterogeneous,players get a diverse game experience because the game activities are very different
1081,exp: homogeneous,"players get a more homogeneous game experience, the core game activities ""feel"" the same"
1085,game object personalization,"players can personalize game objects, e.g., through naming, coloring or cosmetics (clothing, hair styles)"
1089,ginfo: dialog,players need to collect relevant information by talking to NPCs
1090,ginfo: exploration,"players need to gather information by investigating their environment in the hopes of finding something, e.g. new items, an NPCs to talk to, etc."
1091,ginfo: lookup,"players need to gather information by looking up information in the game (looking at letters, looking at the quest log) - this does not include *searching*"
1092,ginfo: remember self,"players need to remember gathered information themselves, since the game does not track it"
1093,ginfo: scouting,"players need to collect information by (repeatedly) investigating an area, e.g. to check that nothing is there or to get information on an enemy"
1094,ginfo: text search,players can search through information by specifying search terms
1095,goc: critical failure,"the game is over when the player fails critically, e.g. death, which resets to a previous point in the game, thereby losing any progress between this point and the critical failure"
1096,goc: none,"there is no direct game over condition, e.g., because the game continues after the story ends (Minecraft) or because there was no end to begin with (endless mode)"
1097,goc: permadeath,"When the player dies, the game resets to the start, as is common for rogue-like games. This does not include games where the player can simply load, that would just be a critical failure."
1098,goc: reach endpoint,"The game ends when a certain point is reached, e.g., the conclusion of the main quest. A game ending means that the game can not be played further without starting anew."
1099,info: arrange,players can spatially arrange information
1100,info: connect,"players can (visually) connect pieces of information, e.g. via red strings like a graph"
1101,info: distribute,players must distribute information amongst themselves to tackle problems (multiplayer only)
1102,info: mark/tag,"players can tag information, which can be abstract or concrete, e.g. by tagging video clips based on their content"
1103,info: other,placeholder for any missing tags to organize information
1104,info: record,"players can record information themselves, e.g. with a text note"
1105,info: visibility,"players can (visually) hide information not relevant to the current problem, e.g. by clicking an item to reduce its rendering opacity

this does not include being able to show or hide information in windows, e.g. a quest log"
1107,int: highlight,"visual highlights, e.g. for status changes, important entities, etc."
1108,int: new data,"the game communicates that new data is available to the player, e.g., a new quest, new log entry, new armor, etc."
1110,int: visual aid,the game has visual aids (mostly for navigation) like ledges that are painted in a particular color to indicate that they can be climbed on
1115,map: drawing,players can draw on a map
1116,map: minimap,the game includes a minimap version of a larger map
1117,map: path trail,path trails are shown on a map
1118,map: place symbols,"players can place symbols on the map, e.g. location markers"
1119,map: quicktravel,"players can use something (icon) on a map to quickly travel to other locations

NOTICE: A game feature is only quicktravel if the player could also travel the same distance in a slower way e.g. walking by foot vs clicking on the minimap."
1120,map: symbols,"the game includes a map (at all), usually with symbols that provide information on specific locations"
1121,mech: card game,The game has mechanics based around card games. This can be actual card games or just prominent elements of card games.
1122,mech: challenges,"the game has (optional) content intended to challenge players' skill, e.g. challenge dungeons"
1123,mech: change game speed,"players can change the speed of the game, e.g., through slow motion/bullet time, by having a tactical pause or directly controling the speed (slower/faster)"
1124,mech: combos,"the game has combos in some sense, e.g., when players successfully chain or combine (specific) attacks, when players can craft combos, etc."
1125,mech: configurable quick access,The player can configure some type of quick access. This could be a hotbar or a radial menu where items/skills can be assigned.
1126,mech: other,for any missing tags related to mechanics
1127,mech: physical save points,"there are physical objects in the game where the player can save and/or rest, optionally with replenishing their health

saving can mean creating a new save file or getting a new checkpoint"
1128,mech: place & arrange,"players can place and arrange objects inside the game world, usually employed for building or moving units"
1129,mech: predefined notes,"the game provides information in the form of notes, audio diaries, encylopedias, letters, etc."
1130,mech: quest tracker display,players can see their current quest objectives/tasks displayed on the screen (automatically or by setting a quest as active)
1131,mech: queue,"players can queue specific actions like movement or more complex commands; does not count if the game only internally uses a queue, it needs to be visually present or possible to see for the player"
1132,mech: quicktime events,the game contains events that require players to press a specific button in a given time window; can have bad consequences if failed
1133,mech: skilltree & upgrades,"the game includes systems, like a skill or research tree, where upgrades are successively unlocked by the player"
1134,mech: stealth,"the game has stealth mechanics like sneaking, wearing disguises or stealing"
1135,mech: transform,"players can transform things inside the game into other things, e.g. crafting (this does not including paying for things with money)"
1136,mech: vehicles & mounts,"players can use vehicles or mounts (e.g., horses, dragons, etc.) to traverse the world: these must  1. have their own controls and 2. be an alternative way of moving. Should apply to almost everything where the player controls a vehicle or mount."
1139,mini: busywork,"minigames that consist of busywork (see ""busywork"" tag), e.g. trivial and repetitive tasks

minigames are generally expected to be different from the main game - for example in terms of input/movement"
