id,system_name,primary_attribute,attack_type,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,turn_rate,legs,day_vision,night_vision,name,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_wins,pro_pick,pro_win,pro_ban,pub_pick,pub_win,x,y
1,antimage,agi,Melee,120,1.0,75,0.0,1,25,29,33,21,24,12,1.6,2.8,1.8,150,0,1.4,100,0.30000000000000004,310,,2,1800,800,Anti-Mage,43571,22390,83623,43013,87038,44584,72846,36565,50401,25362,30411,15092,27126,13404,0,0,171491,89484,17,7,35,438097,222363,9.187915,6.9234786
2,axe,str,Melee,120,2.5,75,0.0,0,25,31,35,25,20,18,2.8,1.7000000000000002,1.6,150,900,1.7000000000000002,100,0.4,315,,2,1800,800,Axe,50714,26719,96618,50371,105455,54264,94040,47667,67798,34014,41809,20558,37980,18736,0,0,195041,100179,38,16,14,544108,278687,10.494372,8.15643
3,bane,all,Ranged,120,0.25,75,0.0,1,25,24,30,23,23,23,2.7,2.7,2.7,400,900,1.7000000000000002,100,0.30000000000000004,305,,4,1800,1200,Bane,6622,3151,11539,5525,11863,5763,10576,5293,7934,4017,5366,2776,5781,3019,0,0,35091,16313,23,13,43,71615,34725,-9.902211,-8.442541
4,bloodseeker,agi,Melee,120,0.25,75,0.0,2,25,35,41,24,24,17,2.7,3.1,2.0,150,900,1.7000000000000002,100,0.43,285,,2,1800,800,Bloodseeker,22588,11466,28785,14817,24365,12606,18566,9747,12722,6568,7306,3763,6208,3113,0,0,83498,40583,7,2,6,151117,76791,-2.5461745,-4.1531377
5,crystal_maiden,int,Ranged,120,0.25,75,0.0,0,25,28,34,17,16,20,2.2,1.8,3.3,600,900,1.7000000000000002,100,0.45,280,,2,1800,800,Crystal Maiden,38298,19720,60858,30748,60348,30311,50710,25084,36334,17782,22872,11363,21067,10320,0,0,152932,77594,39,16,2,326143,164112,6.902194,4.7095666
6,drow_ranger,agi,Ranged,120,0.25,75,0.0,0,25,29,36,16,22,15,1.9,2.9,1.4,625,1250,1.7000000000000002,100,0.5,310,0.7000000000000001,2,1800,800,Drow Ranger,46684,23672,78057,40344,82442,42939,72117,37828,52413,27098,32585,16796,30424,15714,0,0,245976,135515,10,4,27,439377,227510,10.244308,6.470633
7,earthshaker,str,Melee,120,1.0,75,0.0,2,25,27,37,22,12,18,3.7,1.4,2.1,150,0,1.7000000000000002,100,0.467,315,0.9,2,1800,800,Earthshaker,35138,16742,62771,29826,67766,32267,61888,29506,46168,22333,28746,13903,26510,12873,0,0,188289,87717,10,4,9,375677,179977,8.237732,5.5879307
8,juggernaut,agi,Melee,120,0.5,75,0.0,0,25,22,24,20,32,14,2.0,2.8,1.4,150,0,1.4,110,0.33,300,,2,1800,800,Juggernaut,45268,22683,82198,41382,89759,45398,80244,40742,56688,29011,34351,17604,28920,14435,0,0,212611,106121,18,10,13,470542,237960,10.02423,7.130904
9,mirana,agi,Ranged,120,0.25,75,0.4,-2,25,22,28,20,26,22,2.2,3.1,1.9,630,900,1.7000000000000002,100,0.35000000000000003,285,,2,1800,800,Mirana,18926,9627,36653,18729,40134,20651,35889,18552,25516,13228,15760,8033,14541,7403,0,0,111745,59291,7,3,1,209038,107191,2.4496508,0.032976046
10,morphling,agi,Ranged,120,0.5,75,0.0,-2,25,12,21,23,24,19,2.6,3.9,1.8,350,1300,1.5,100,0.5,285,0.7000000000000001,0,1800,800,Morphling,15018,7115,29192,13869,31731,14963,29552,13956,22956,10774,16657,7998,21254,10291,0,0,95576,45770,33,16,52,185434,88217,-0.45533603,-2.2801836
11,nevermore,agi,Ranged,120,0.25,75,0.30000000000000004,0,25,16,22,19,25,18,2.7,3.6,2.2,525,1200,1.6,100,0.5,305,0.9,0,1800,800,Shadow Fiend,48634,24219,96168,48658,111990,56597,108434,54577,86428,43322,59858,29581,66639,32929,0,0,307510,148761,162,81,204,632986,316259,11.805805,8.245594
12,phantom_lancer,agi,Melee,120,2.0,75,0.0,0,25,26,36,21,26,21,2.2,3.4,1.8,225,900,1.7000000000000002,110,0.5,285,,2,1800,800,Phantom Lancer,28878,15075,46284,24136,42948,22112,33807,17623,24045,12682,14926,7818,15291,8068,0,0,108505,59985,17,5,32,235875,122707,3.0681026,1.3800097
13,puck,int,Ranged,120,0.5,75,0.5,0,25,22,30,17,14,23,2.4,2.3,3.8,550,900,1.7000000000000002,100,0.5,290,0.9,2,1800,800,Puck,11670,5366,24194,11154,31242,14866,32849,15790,27808,13562,20153,9975,23085,11542,0,0,68559,31419,61,29,133,189831,91043,-1.7823757,-0.88947487
14,pudge,str,Melee,120,2.5,75,0.0,0,25,45,51,25,11,16,3.0,1.4,1.8,175,0,1.7000000000000002,100,0.5,280,0.7000000000000001,2,1800,800,Pudge,79613,41758,151520,78963,155760,80441,131574,67657,95005,48516,61727,31533,68413,34729,0,0,515607,267591,60,37,16,815036,421467,12.80826,8.506906
15,razor,agi,Ranged,120,1.0,75,0.0,0,25,23,25,22,24,21,2.8,2.8,2.2,475,2000,1.7000000000000002,100,0.30000000000000004,280,,0,1800,800,Razor,36158,19335,66064,35672,79192,42644,78921,42834,64414,34771,44130,23739,48255,25680,0,0,148343,79545,85,43,129,456297,244799,9.11445,7.599714
16,sand_king,all,Melee,120,0.25,75,0.0,1,25,19,29,23,19,17,2.3,2.0,2.0,150,900,1.7000000000000002,110,0.53,290,,6,1800,800,Sand King,17406,9199,30163,15756,30422,15685,26101,13018,19245,9584,12176,6059,11389,5644,0,0,75087,39340,26,11,119,171304,87559,-1.9190787,-2.5127747
17,storm_spirit,int,Ranged,120,0.5,75,0.0,1,25,24,34,21,22,23,2.0,2.6,3.7,480,1100,1.6,115,0.5,285,0.8,2,1800,800,Storm Spirit,19698,9488,37095,17950,43753,20920,43123,21057,34847,17200,24189,11942,26817,13213,0,0,106949,52536,66,34,86,251393,122476,3.8206959,1.9995016
18,sven,str,Melee,120,0.75,75,0.0,0,25,37,39,23,18,16,3.5,2.2,1.5,150,0,1.9,110,0.4,325,,2,1800,800,Sven,21080,10352,33243,16351,32062,15744,26663,13021,18871,9136,11228,5531,10683,5091,0,0,76172,38159,27,15,12,185235,91307,-1.2674886,-1.8550969
19,tiny,str,Melee,120,2.0,75,0.0,0,25,31,37,30,0,17,4.2,0.0,2.2,150,900,1.7000000000000002,90,0.4,275,,2,1800,800,Tiny,18583,8588,34399,15968,42282,19696,44896,21203,38691,18115,28771,13552,34440,16709,0,0,104424,47212,101,50,82,271504,127624,4.5512633,2.4570518
20,vengefulspirit,agi,Ranged,120,0.25,75,0.0,0,25,28,34,20,23,19,2.6,3.0,1.5,400,1500,1.7000000000000002,100,0.33,295,,2,1800,800,Vengeful Spirit,17510,9084,32326,16864,38285,20204,35441,18751,26570,13928,16381,8648,14114,7319,0,0,90448,49357,24,10,4,205437,107004,1.2420613,-0.1497046
21,windrunner,all,Ranged,120,0.25,75,0.25,0,25,24,36,18,17,18,2.6,2.1,3.2,600,1250,1.5,90,0.4,290,0.8,2,1800,800,Windranger,52042,26111,90258,44019,100933,49088,94967,46300,73281,35715,48954,23714,50274,24396,0,0,268032,135779,71,39,236,563655,276358,11.243086,7.866969
22,zuus,int,Ranged,120,0.25,75,0.0,2,25,29,37,19,11,23,2.1,1.2,3.3,380,1100,1.7000000000000002,100,0.35000000000000003,315,,2,1800,800,Zeus,41741,20894,72383,36005,76962,38329,68087,33542,49641,24372,31210,15224,29522,14320,0,0,255898,126525,27,15,45,413728,204463,9.906245,6.0154552
23,kunkka,str,Melee,120,0.75,75,0.0,2,25,30,36,24,14,18,3.6,1.6,1.8,150,900,1.7000000000000002,100,0.4,315,,2,1800,800,Kunkka,13972,6850,24330,11968,26950,13364,25977,13057,19998,10111,12923,6372,12141,6072,0,0,55725,26469,22,11,22,156347,78048,-4.38192,-4.2763867
25,lina,int,Ranged,120,0.25,75,0.0,0,25,21,29,20,23,30,2.4,2.4,4.0,670,1000,1.6,100,0.65,290,,2,1800,800,Lina,41907,20190,66631,32596,71156,34978,63919,31790,47002,22991,29130,14453,27486,13573,0,0,178364,85415,36,19,21,391148,191452,8.489431,5.9561887
26,lion,int,Ranged,120,0.5,75,0.0,0,25,29,35,18,15,19,2.4,1.7000000000000002,3.5,600,900,1.7000000000000002,115,0.43,290,,2,1800,800,Lion,70580,34760,137995,68233,153892,76316,139044,68953,102347,50717,64497,32222,60664,30383,0,0,353226,169955,90,45,18,789561,391621,12.54752,8.556957
27,shadow_shaman,int,Ranged,120,1.0,75,0.0,2,25,40,47,20,16,23,2.3,1.6,3.5,400,900,1.7000000000000002,100,0.30000000000000004,285,,2,1800,800,Shadow Shaman,53137,27478,94240,48317,98461,51219,86010,44634,62612,32841,39062,20433,38484,20290,0,0,176427,90852,92,47,24,517783,269324,10.0562,8.049325
28,slardar,str,Melee,120,0.5,75,0.0,2,25,30,38,21,17,15,3.6,2.1,1.5,150,0,1.7000000000000002,100,0.36,300,,0,1800,800,Slardar,24884,12732,44476,22465,47315,23801,43049,21700,31724,15835,20476,10239,20804,10398,0,0,87305,45889,51,29,24,263719,133635,3.985249,2.7806044
29,tidehunter,str,Melee,120,0.25,75,0.5,0,25,25,31,27,15,20,3.6,1.5,1.7000000000000002,150,900,1.7000000000000002,100,0.6000000000000001,300,,2,1800,800,Tidehunter,17447,8581,34020,16797,39674,19698,37079,18257,28028,13879,18780,9383,19736,9776,0,0,69654,36924,32,19,31,216565,107177,0.19302492,0.6714011
