Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,x,y
1,5.1,3.5,1.4,0.2,Iris-setosa,-12.554909,1.4384751
2,4.9,3.0,1.4,0.2,Iris-setosa,-12.474096,1.5641965
3,4.7,3.2,1.3,0.2,Iris-setosa,-12.330693,1.7578818
4,4.6,3.1,1.5,0.2,Iris-setosa,-12.233091,1.7908798
5,5.0,3.6,1.4,0.2,Iris-setosa,-12.254465,1.2126474
6,5.4,3.9,1.7,0.4,Iris-setosa,-12.150153,1.1544224
7,4.6,3.4,1.4,0.3,Iris-setosa,-12.043052,1.1364233
8,5.0,3.4,1.5,0.2,Iris-setosa,-11.858136,1.7645608
9,4.4,2.9,1.4,0.2,Iris-setosa,-11.830001,1.1094452
10,4.9,3.1,1.5,0.1,Iris-setosa,-11.65467,1.7150785
11,5.4,3.7,1.5,0.2,Iris-setosa,-11.539672,1.6837118
12,4.8,3.4,1.6,0.2,Iris-setosa,-11.491037,1.1219184
13,4.8,3.0,1.4,0.1,Iris-setosa,-11.365076,1.1485415
14,4.3,3.0,1.1,0.1,Iris-setosa,-11.183332,1.6326395
15,5.8,4.0,1.2,0.2,Iris-setosa,-11.091075,1.1617211
16,5.7,4.4,1.5,0.4,Iris-setosa,-10.951867,1.1204873
17,5.4,3.9,1.3,0.4,Iris-setosa,-10.77066,1.5097696
18,5.1,3.5,1.4,0.3,Iris-setosa,-10.6220665,1.4723004
19,5.7,3.8,1.7,0.3,Iris-setosa,-10.502544,1.1382129
20,5.1,3.8,1.5,0.3,Iris-setosa,-10.341084,1.1472718
21,5.4,3.4,1.7,0.2,Iris-setosa,-10.151998,1.3734198
22,5.1,3.7,1.5,0.4,Iris-setosa,-10.0105095,1.1169689
23,4.6,3.6,1.0,0.2,Iris-setosa,-9.814986,1.3061873
24,5.1,3.3,1.7,0.5,Iris-setosa,-9.652792,1.1630617
25,4.8,3.4,1.9,0.2,Iris-setosa,-9.480993,1.0956892
26,5.0,3.0,1.6,0.2,Iris-setosa,-9.280887,1.1849433
27,5.0,3.4,1.6,0.4,Iris-setosa,-9.098573,1.1157718
28,5.2,3.5,1.5,0.2,Iris-setosa,-8.909492,1.0872059
29,5.2,3.4,1.4,0.2,Iris-setosa,-8.714856,1.066963
30,4.7,3.2,1.6,0.2,Iris-setosa,-8.521459,1.0591245
31,4.8,3.1,1.6,0.2,Iris-setosa,-8.324516,1.030843
32,5.4,3.4,1.5,0.4,Iris-setosa,-8.126951,0.99821025
33,5.2,4.1,1.5,0.1,Iris-setosa,-7.932677,0.979034
34,5.5,4.2,1.4,0.2,Iris-setosa,-7.732798,0.9614959
35,4.9,3.1,1.5,0.1,Iris-setosa,-7.529442,0.9348307
36,5.0,3.2,1.2,0.2,Iris-setosa,-7.3292623,0.9100421
37,5.5,3.5,1.3,0.2,Iris-setosa,-7.1351213,0.8869628
38,4.9,3.1,1.5,0.1,Iris-setosa,-6.930984,0.86297876
39,4.4,3.0,1.3,0.2,Iris-setosa,-6.7353916,0.8401706
40,5.1,3.4,1.5,0.2,Iris-setosa,-6.5377035,0.8172928
41,5.0,3.5,1.3,0.3,Iris-setosa,-6.343412,0.79246193
42,4.5,2.3,1.3,0.3,Iris-setosa,-6.1464853,0.7699701
43,4.4,3.2,1.3,0.2,Iris-setosa,-5.9527125,0.7465812
44,5.0,3.5,1.6,0.6,Iris-setosa,-5.7447557,0.7221307
45,5.1,3.8,1.9,0.4,Iris-setosa,-5.545373,0.6981329
46,4.8,3.0,1.4,0.3,Iris-setosa,-5.3638654,0.67630196
47,5.1,3.8,1.6,0.2,Iris-setosa,-5.158023,0.6520613
48,4.6,3.2,1.4,0.2,Iris-setosa,-4.975284,0.6302331
49,5.3,3.7,1.5,0.2,Iris-setosa,-4.77417,0.60608685
50,5.0,3.3,1.4,0.2,Iris-setosa,-4.594819,0.5838284
51,7.0,3.2,4.7,1.4,Iris-versicolor,-4.2047043,0.5377763
52,6.4,3.2,4.5,1.5,Iris-versicolor,-4.0336294,0.5171216
53,6.9,3.1,4.9,1.5,Iris-versicolor,-3.8329031,0.49305332
54,5.5,2.3,4.0,1.3,Iris-versicolor,-3.661007,0.47235122
55,6.5,2.8,4.6,1.5,Iris-versicolor,-3.449402,0.44728258
56,5.7,2.8,4.5,1.3,Iris-versicolor,-3.2559154,0.42352235
57,6.3,3.3,4.7,1.6,Iris-versicolor,-3.0608761,0.39917284
58,4.9,2.4,3.3,1.0,Iris-versicolor,-2.8739893,0.3775615
59,6.6,2.9,4.6,1.3,Iris-versicolor,-2.669995,0.3540702
60,5.2,2.7,3.9,1.4,Iris-versicolor,-2.474727,0.329688
61,5.0,2.0,3.5,1.0,Iris-versicolor,-2.2810564,0.30547592
